date,count1,Priority
2018-10-09,0.0,6
2018-10-14,0.0,3
2018-10-19,0.0,2
2018-10-24,0.0,0
2018-10-29,0.0,0
2018-11-03,0.0,6
2018-11-08,0.0,3
2018-11-13,0.0,0
2018-11-18,0.0,5
2018-11-23,0.0,7
2018-11-28,0.0,0
2018-12-03,0.0,4
2018-12-08,0.0,4
2018-12-13,0.0,0
2018-12-18,0.0,3
2018-12-23,0.0,0
2018-12-28,0.0,3
2019-01-02,0.0,3
2019-01-07,0.0,4
2019-01-12,0.0,0
2019-01-17,0.0,2
2019-01-22,0.0,2
2019-01-27,0.0,2
2019-02-01,0.0,4
2019-02-06,0.0,6
2019-02-11,0.0,5
2019-02-16,0.0,6
2019-02-21,0.0,3
2019-02-26,0.0,3
2019-03-03,0.0,7
2019-03-08,0.0,9
2019-03-13,0.0,2
2019-03-18,0.0,4
2019-03-23,0.0,8
2019-03-28,0.0,0
2019-04-02,0.0,7
2019-04-07,0.0,8
2019-04-12,0.0,1
2019-04-17,0.0,6
2019-04-22,0.0,6
2019-04-27,0.0,10
2019-05-02,0.0,3
2019-05-07,0.0,7
2019-05-12,0.0,6
2019-05-17,0.0,3
2019-05-22,0.0,1
2019-05-27,0.0,12
2019-06-01,0.0,3
2019-06-06,0.0,8
2019-06-11,0.0,8
2019-06-16,0.0,10
2019-06-21,0.0,7
2019-06-26,0.0,6
2019-07-01,0.0,6
2019-07-06,0.0,9
2019-07-11,0.0,12
2019-07-16,0.0,11
2019-07-21,0.0,9
2019-07-26,0.0,9
2019-07-31,0.0,6
2019-08-05,0.0,22
2019-08-10,0.0,25
2019-08-15,0.0,24
2019-08-20,0.0,32
2019-08-25,0.0,35
2019-08-30,0.0,46
2019-09-04,0.0,35
2019-09-09,0.0,45
2019-09-14,0.0,38
2019-09-19,0.0,43
2019-09-24,0.0,29
2019-09-29,0.0,38
2019-10-04,0.0,64
2019-10-09,0.0,52
2019-10-14,0.0,74
2019-10-19,0.0,120
2019-10-24,0.0,100
2019-10-29,0.0,103
2019-11-03,0.0,50
2019-11-08,0.0,61
2019-11-13,0.0,47
